# Number of curve loops: 2
# Number of points of each curveloops: 100 4
# Plane Surface(1) = {2, 1};
# Plane Surface(2) = {1};
# Physical Surface("out") = {2};
# Physical Surface("in") = {1};
# Curve Loop 1
9.924038765061040657e-01 -8.682408883346515172e-02
9.913630913977713455e-01 -8.676936887745115290e-02
9.882452446482885566e-01 -8.660426775485767503e-02
9.830638346849996934e-01 -8.632600970786005745e-02
9.758412686244886114e-01 -8.593012516183932969e-02
9.666087294033582911e-01 -8.541067434092769473e-02
9.554059946393812508e-01 -8.476053834786206886e-02
9.422812117154454326e-01 -8.397175765388173452e-02
9.272906343417040009e-01 -8.303589481581889753e-02
9.104983262747307071e-01 -8.194439680413374838e-02
8.919758379329945086e-01 -8.068893270183571942e-02
8.718018613478472068e-01 -7.926168470582835301e-02
8.500618682562801620e-01 -7.765557418658683431e-02
8.268477352275105385e-01 -7.586440977717612277e-02
8.022573585918929551e-01 -7.388295070422536137e-02
7.763942606950490211e-01 -7.170688539968568531e-02
7.493671877293613948e-01 -6.933273235339124096e-02
7.212896981987423350e-01 -6.675767667881249423e-02
6.922797400465255935e-01 -6.397936148477476048e-02
6.624592137052618401e-01 -6.099565744556550984e-02
6.319535178791456653e-01 -5.780443659686488461e-02
6.008910747909569361e-01 -5.440337712124564129e-02
5.694028319366409852e-01 -5.078982461825280043e-02
5.376217380856114225e-01 -4.696073211105994405e-02
5.056821923098893112e-01 -4.291269599262734213e-02
4.737194661611733859e-01 -3.864209855584814501e-02
4.418691006607211591e-01 -3.414536009185994286e-02
4.102662814244629197e-01 -2.941929527146308621e-02
3.790451969062763604e-01 -2.446156019341876736e-02
3.483383862934018582e-01 -1.927116865590002004e-02
3.182760849208664533e-01 -1.384904943055592641e-02
2.889855760887946601e-01 -8.198611084455485754e-03
2.605905587875315677e-01 -2.326277607045505735e-03
2.332105410037088045e-01 3.758042955978660449e-03
2.069602679662331246e-01 1.004059333297901979e-02
1.820370972008207022e-01 1.647845205365114363e-02
1.589084966126501630e-01 2.285042928108981658e-02
1.375918136033234818e-01 2.897272634499875599e-02
1.180313989333876684e-01 3.474594779503395459e-02
1.001611302290358191e-01 4.013414318682295007e-02
8.391151842837538122e-02 4.515089399438299012e-02
6.921901109663936014e-02 4.984626263018666903e-02
5.603589094999830711e-02 5.429574461537779728e-02
4.433867962898944970e-02 5.859164107341508637e-02
3.413325685396573911e-02 6.283638108674508005e-02
2.545586492956095764e-02 6.713673026225965013e-02
1.837032625495817195e-02 7.159779875352728640e-02
1.296264294429427290e-02 7.631623994006790646e-02
9.334401336079335351e-03 8.137269664985444240e-02
7.596123493895989842e-03 8.682408883346516559e-02
7.596123493895989842e-03 8.682408883346516559e-02
7.881238800576549977e-03 9.254212665306402186e-02
1.031486208248789081e-02 9.835694564855766708e-02
1.498260590011367584e-02 1.042036328794747058e-01
2.194465450072093787e-02 1.099692805875594065e-01
3.122928544913516208e-02 1.154990722997906727e-01
4.282651133971278334e-02 1.206071499539890790e-01
5.668298271706737057e-02 1.250920025169611760e-01
7.269957373809660117e-02 1.287553959175418705e-01
9.073281816683123613e-02 1.314230567700953867e-01
1.106005215858063689e-01 1.329647506384258882e-01
1.320907177648777964e-01 1.333113768858596726e-01
1.549721770491534756e-01 1.324673076040699393e-01
1.790043743009952504e-01 1.305171520521983264e-01
2.039453120046530732e-01 1.276269701686218172e-01
2.296148095180038373e-01 1.240248336934564877e-01
2.562724386201754023e-01 1.197918578569290432e-01
2.838981469182827455e-01 1.149437064995588176e-01
3.123806493140708906e-01 1.095115462218365920e-01
3.416057318655464359e-01 1.035319215677132088e-01
3.714566404465046157e-01 9.704619897125041361e-02
4.018144621260276717e-01 9.009990174164908550e-02
4.325585045667305617e-01 8.274197336471587894e-02
4.635666789577016500e-01 7.502400774511572279e-02
4.947158917499882569e-01 6.699948397440154413e-02
5.258824497789487129e-01 5.872303993409772049e-02
5.569424822959654353e-01 5.024981381782796241e-02
5.877723820721653114e-01 4.163487588502378517e-02
6.182492661767388098e-01 3.293276493303906594e-02
6.482514553809476388e-01 2.419713564153825464e-02
6.776589695083250486e-01 1.548051466843199109e-02
7.063540345506086338e-01 6.834155707417414322e-03
7.342215960954429077e-01 -1.692022853677026262e-03
7.611498326467541764e-01 -1.004943909949269909e-02
7.870306618207137950e-01 -1.819081226672605855e-02
8.117602322026330475e-01 -2.607011691606297629e-02
8.352393938588436040e-01 -3.364255186532696951e-02
8.573741410912429917e-01 -4.086454654662814018e-02
8.780760219538871203e-01 -4.769382318257513187e-02
8.972625102521629703e-01 -5.408952759102755858e-02
9.148573371300624535e-01 -6.001243495301265829e-02
9.307907808235598157e-01 -6.542522999733126066e-02
9.449999146174886677e-01 -7.029285427165923861e-02
9.574288143919164051e-01 -7.458290697306793615e-02
9.680287282935406967e-01 -7.826608064256149189e-02
9.767582119452293821e-01 -8.131660925248378191e-02
9.835832331599284606e-01 -8.371270409433217985e-02
9.884772503249290576e-01 -8.543695255005644140e-02
9.914212684655727692e-01 -8.647665631628165261e-02
9.924038765061040657e-01 -8.682408883346517947e-02
# Curve Loop 2
-0.5 -0.75
1.5 -0.75
1.5 0.75
-0.5 0.75

